council_district,highest_offense_desc,highest_offense,date,location,district,zip,x_coord,y_coord
9,AUTO THEFT,Auto Theft,10-Dec-18,2902 HAMPTON RD,B,78705,3118304,10078620
9,THEFT BY SHOPLIFTING,Theft,16-Oct-18,1201 BARBARA JORDAN BLVD,B,78723,3124601,10084923
10,BURGLARY OF VEHICLE,Theft,22-Jun-18,2600 LAKE AUSTIN BLVD,B,78703,3104471,10074894
4,BURGLARY OF RESIDENCE,Burglary,5-Jul-18,5330 N IH 35 SVRD SB,I,78751,3124538,10087177
7,BURGLARY OF VEHICLE,Theft,24-Sep-18,12802 POWDERHORN ST,A,78727,3129160,10126575
3,THEFT,Theft,9-Nov-18,1600 WICKERSHAM LN,H,78741,3122229,10059265
2,BURGLARY OF VEHICLE,Theft,5-Aug-18,4533 S IH 35 SVRD NB,F,78744,3111190,10049228
1,BURGLARY OF VEHICLE,Theft,30-Jul-18,12012 LANSDOWNE RD,C,78754,3155703,10103816
8,THEFT,Theft,9-Sep-18,5800 W SLAUGHTER LN,D,78749,3072565,10045990
1,THEFT,Theft,24-Aug-18,4805 RIBBECKE AVE,C,78721,3133039,10075310
7,BURGLARY OF RESIDENCE,Burglary,13-Jul-18,8109 EXMOOR DR,I,78757,3118161,10104284
10,BURGLARY OF VEHICLE,Theft,20-Dec-18,4411 SPICEWOOD SPRINGS RD,B,78731,3108358,10108761
5,BURGLARY OF VEHICLE,Theft,28-Dec-18,6900 WINDRIFT WAY,F,78745,3097174,10045256
9,THEFT BY SHOPLIFTING,Theft,28-Dec-18,907 W 5TH ST,G,78703,3110792,10071296
7,THEFT BY SHOPLIFTING,Theft,3-Sep-18,10107 RESEARCH BLVD NB,A,78759,3112274,10116346
7,BURGLARY OF VEHICLE,Theft,9-Aug-18,10011 STONELAKE BLVD,A,78759,3114834,10115974
9,THEFT,Theft,9-Aug-18,801 RED RIVER ST,G,78701,3116406,10070996
6,BURGLARY OF VEHICLE,Theft,18-Oct-18,13021 LEGENDARY DR,A,78727,3116805,10131649
7,THEFT,Theft,22-Jun-18,8425 BURNET RD,I,78757,3118159,10106318
8,THEFT FROM AUTO,Theft,14-Aug-18,9125 W SH 71,D,78736,3062906,10065808
6,AUTO THEFT,Auto Theft,4-Jul-18,13201 LEGENDARY DR,A,78727,3116797,10132195
4,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,13-Aug-18,1001 W RUNDBERG LN,E,78758,3126932,10106065
8,BURGLARY OF VEHICLE,Theft,24-Jun-18,2400 BLOCK STRATFORD DR,D,78746,3104497,10072363
8,AUTO THEFT,Auto Theft,25-Sep-18,4701 MONTEREY OAKS BLVD,D,78749,3084192,10056464
9,THEFT,Theft,4-Aug-18,2110 WIRTZ AVE,D,78704,3107251,10062862
7,THEFT,Theft,5-Sep-18,2525 W ANDERSON LN,B,78757,3116494,10102601
6,THEFT BY SHOPLIFTING,Theft,9-Sep-18,11200 LAKELINE MALL DR,A,78613,3092523,10143915
3,THEFT,Theft,14-Aug-18,501 E STASSNEY LN,F,78745,3105694,10046463
9,BURGLARY OF VEHICLE,Theft,13-Jul-18,3700 N IH 35 SVRD SB,B,78705,3121003,10080324
2,AUTO THEFT,Auto Theft,5-Dec-18,3600 PRESIDENTIAL BLVD,AP,78719,3138850,10047302
9,THEFT,Theft,15-Sep-18,E 6TH ST / NECHES ST,G,78701,3115761,10070320
8,THEFT,Theft,29-Jun-18,4801 SUMMERSET TRL,D,78749,3083206,10055691
4,BURGLARY NON RESIDENCE,Burglary,16-Sep-18,8216 GEORGIAN DR,E,78753,3126145,10100220
9,THEFT,Theft,13-Sep-18,516 DAWSON RD,D,78704,3110021,10067537
2,BURGLARY OF VEHICLE,Theft,15-Dec-18,901 LITTLE TEXAS LN,F,78745,3106583,10045152
7,BURGLARY OF VEHICLE,Theft,18-Dec-18,13000 N IH 35 SVRD SB,E,78753,3134503,10124881
4,BURGLARY OF VEHICLE,Theft,2-Aug-18,1011 FIELDWOOD DR,E,78758,3127306,10108463
9,THEFT,Theft,13-Aug-18,1201 BARBARA JORDAN BLVD,B,78723,3124601,10084923
9,THEFT FROM BUILDING,Theft,10-Oct-18,1007 S CONGRESS AVE,H,78704,3113070,10065638
3,BURGLARY OF VEHICLE,Theft,28-Jul-18,1705 FRONTIER VALLEY DR,H,78741,3129781,10055371
5,BREACH OF COMPUTER SECURITY,Theft,9-Aug-18,9925 BRODIE LN,F,78748,3081480,10039321
3,BURGLARY OF RESIDENCE,Burglary,22-Jul-18,2508 E 2ND ST,C,78702,3123034,10066270
4,AGG ROBBERY/DEADLY WEAPON,Robbery,21-Nov-18,9845 N LAMAR BLVD,E,78753,3128820,10107476
2,BURGLARY OF VEHICLE,Theft,2-Oct-18,4900 LAMBS LN,F,78744,3112240,10038139
4,AGG SEXUAL ASSAULT CHILD/OBJEC,Rape,27-Jun-18,,E,78753,,
9,THEFT OF BICYCLE,Theft,28-Aug-18,91 RAINEY ST,G,78701,3115917,10067931
6,BURGLARY OF VEHICLE,Theft,2-Jul-18,11716 RUNNING FOX TRL,A,78759,3115617,10123308
6,BURGLARY OF RESIDENCE,Burglary,11-Jul-18,7920 SAN FELIPE BLVD,A,78729,3104597,10132546
5,BURGLARY OF VEHICLE,Theft,3-Aug-18,9300 S IH 35 SVRD SB,F,78748,3100423,10033116
10,AGG ROBBERY/DEADLY WEAPON,Robbery,4-Sep-18,12518 RESEARCH BLVD SB,A,78759,3107386,10129033
10,BURGLARY NON RESIDENCE,Burglary,22-Jul-18,8028 MESA DR,B,78731,3108507,10108010
2,THEFT,Theft,16-Aug-18,1700 TERI RD,F,78744,3110784,10047817
3,BURGLARY OF VEHICLE,Theft,19-Aug-18,2601 S 2ND ST,D,78704,3108510,10060277
8,AUTO THEFT,Auto Theft,8-Aug-18,2901 BARTON SKWY,D,78746,3099656,10067019
6,BURGLARY NON RESIDENCE,Burglary,10-Jul-18,9009 N FM 620 RD,A,78726,3082092,10129758
4,BURGLARY OF RESIDENCE,Burglary,21-Jun-18,8312 N IH 35 SVRD SB,E,78753,3128227,10099667
5,THEFT,Theft,25-Sep-18,7310 SHERWOOD RD,F,78745,3097668,10043017
4,THEFT,Theft,26-Sep-18,1830 W RUNDBERG LN,E,78758,3122270,10108763
1,AUTO THEFT,Auto Theft,19-Jul-18,12428 TAY TER,C,78653,3153409,10109858
9,THEFT OF BICYCLE,Theft,5-Sep-18,311 BOWIE ST,G,78703,3111087,10071101
2,BURGLARY OF VEHICLE,Theft,21-Jun-18,5406 MEADOW CREST,F,78744,3117099,10043678
1,BURGLARY OF VEHICLE,Theft,25-Jul-18,1857 CORONADO HILLS DR,I,78752,3132709,10091715
2,THEFT,Theft,25-Jul-18,8300 S IH 35 SVRD SB,F,78745,3102685,10036277
4,BURGLARY OF VEHICLE,Theft,25-Jul-18,1071 CLAYTON LN,I,78723,3126309,10089393
2,BURGLARY OF VEHICLE,Theft,20-Oct-18,6004 EUREKA DR,F,78745,3099666,10048379
3,BURGLARY OF VEHICLE,Theft,1-Oct-18,1414 SHORE DISTRICT DR,H,78741,3119033,10061999
1,THEFT,Theft,12-Sep-18,7224 NORTHEAST DR,I,78723,3133640,10090689
1,BURG OF RES - SEXUAL NATURE,Burglary,27-Aug-18,5800 TECHNI CENTER DR,C,78721,3136581,10075175
8,THEFT,Theft,29-Aug-18,5033 W US 290 HWY SVRD EB,D,78749,3088740,10057409
2,BURGLARY OF VEHICLE,Theft,11-Oct-18,7930 THAXTON RD,F,78747,3114729,10030568
5,BREACH OF COMPUTER SECURITY,Theft,3-Sep-18,1810 ANITA DR,D,78704,3105594,10065597
9,BURGLARY OF VEHICLE,Theft,9-Oct-18,400 W 13TH ST,B,78701,3113932,10073668
8,BURGLARY OF VEHICLE,Theft,22-Oct-18,7010 W SH 71,D,78735,3072536,10058067
7,BURGLARY NON RESIDENCE,Burglary,22-Oct-18,10515 N MOPAC EXPY SVRD NB,A,78758,3116529,10116684
6,BURGLARY OF VEHICLE,Theft,18-Sep-18,7301 N FM 620 RD,A,78726,3078853,10119608
1,THEFT,Theft,8-Aug-18,6110 BOYCE LN,C,78653,3155099,10106557
7,BURGLARY OF VEHICLE,Theft,3-Aug-18,3908 W BRAKER LN,A,78759,3115779,10117837
2,THEFT,Theft,21-Aug-18,7500 S IH 35 NB,F,78744,3104305,10038842
5,THEFT,Theft,26-Jun-18,9323 MANCHACA RD,F,78748,3090891,10037675
2,BURGLARY OF VEHICLE,Theft,23-Sep-18,8005 VIVID SKY LN,F,78748,3100770,10037955
5,BURGLARY OF VEHICLE,Theft,13-Jul-18,8101 NOTTAWAY CV,F,78745,3087022,10045088
5,THEFT BY SHOPLIFTING,Theft,24-Aug-18,2110 W SLAUGHTER LN,F,78748,3088927,10036469
7,THEFT,Theft,24-Oct-18,12900 N IH 35 SVRD SB,E,78753,3134231,10124160
7,THEFT BY SHOPLIFTING,Theft,19-Jul-18,10515 N MOPAC EXPY NB,A,78758,3116531,10115747
1,AUTO THEFT,Auto Theft,10-Sep-18,7701 CAMERON RD,I,78752,3131532,10094367
9,AUTO THEFT,Auto Theft,25-Oct-18,3320 HARMON AVE,B,78705,3120329,10079559
4,THEFT BY SHOPLIFTING,Theft,17-Sep-18,5621 N IH 35 SVRD NB,I,78723,3125467,10088596
9,BURGLARY OF VEHICLE,Theft,3-Oct-18,W 17TH ST / RIO GRANDE ST,B,78701,3113336,10075323
2,THEFT,Theft,25-Jul-18,5804 COUGAR DR,F,78745,3101083,10048469
1,THEFT,Theft,14-Oct-18,1601 N IH 35 SVRD NB,C,78702,3118370,10073945
1,BURGLARY OF VEHICLE,Theft,15-Aug-18,5300 ED BLUESTEIN BLVD NB,C,78724,3138950,10079404
4,BURGLARY OF RESIDENCE,Burglary,28-Aug-18,1103 INLAND GREENS,E,78758,3125057,10105977
6,THEFT,Theft,21-Sep-18,12233 N FM 620 RD,A,78750,3090001,10140817
7,BURGLARY OF VEHICLE,Theft,13-Oct-18,3211 FEATHERGRASS CT,A,78758,3118106,10116811
9,BURGLARY NON RESIDENCE,Burglary,12-Oct-18,1950 S IH 35 SVRD SB,H,78704,3115636,10059841
3,RAPE,Rape,8-May-18,,H,78741,,
1,AGG ROBBERY/DEADLY WEAPON,Robbery,25-Nov-18,6907 TULANE DR,I,78723,3137913,10087649
1,BURGLARY OF VEHICLE,Theft,10-Sep-18,1834 FERGUSON LN,E,78754,3136116,10099322
1,AUTO THEFT,Auto Theft,24-Oct-18,1011 PEGGOTTY PL,E,78753,3138582,10114575
9,BURGLARY OF VEHICLE,Theft,29-Oct-18,4600 MUELLER BLVD,B,78723,3125013,10082433
4,BURGLARY OF VEHICLE,Theft,30-Oct-18,E 53RD ST / HARMON AVE,I,78751,3124000,10086995
10,BURGLARY OF VEHICLE,Theft,2-Aug-18,5253 N CAPITAL OF TEXAS HWY NB,B,78746,3096698,10100276
1,BURGLARY OF VEHICLE,Theft,23-Sep-18,1000 TRINITY ST,G,78701,3115816,10071833
5,BURGLARY OF VEHICLE,Theft,12-Sep-18,9308 S 1ST ST,F,78748,3096524,10034765
10,THEFT,Theft,14-Sep-18,2453 WESTLAKE DR,B,78746,3101493,10083961
2,BURGLARY OF VEHICLE,Theft,5-Aug-18,4533 S IH 35 SVRD NB,F,78744,3111190,10049228
6,BURGLARY OF VEHICLE,Theft,30-Oct-18,13802 N US 183 HWY SVRD SB,A,78750,3096110,10141200
9,AGG ASSAULT,Agg Assault,9-Oct-18,201 E OLTORF ST,D,78704,3111508,10059670
6,AUTO THEFT,Auto Theft,2-Sep-18,12404 DEER FALLS DR,A,78729,3103802,10134646
10,BURGLARY OF VEHICLE,Theft,28-Sep-18,3600 N CAPITAL OF TEXAS HWY NB,B,78746,3093606,10094441
8,THEFT FROM PERSON,Theft,13-Oct-18,2100 BARTON SPRINGS RD,D,78746,3106393,10070460
7,THEFT,Theft,29-Oct-18,10107 RESEARCH BLVD SVRD NB,A,78759,3112263,10116438
7,BURGLARY OF VEHICLE,Theft,2-Nov-18,5106 N LAMAR BLVD,B,78756,3117586,10089415
7,BURGLARY OF VEHICLE,Theft,23-Jul-18,12100 METRIC BLVD,A,78758,3126346,10120352
3,THEFT,Theft,29-Jun-18,4000 PAYLOAD PASS,D,78704,3110400,10053186
3,THEFT,Theft,31-Aug-18,2100 E RIVERSIDE DR,H,78741,3119711,10060781
1,BURGLARY NON RESIDENCE,Burglary,27-Jun-18,1197 AIRPORT BLVD,C,78721,3127717,10074209
3,ROBBERY BY THREAT,Robbery,26-Oct-18,1200 TAYLOR ST,G,78702,3117220,10066715
5,THEFT,Theft,30-Jul-18,1311 S LAMAR BLVD,D,78704,3108219,10065305
9,BURGLARY OF VEHICLE,Theft,21-Jun-18,313 W 35TH ST,B,78705,3115778,10082369
9,BURGLARY OF VEHICLE,Theft,10-Sep-18,901 NECHES ST,G,78701,3116154,10071403
1,BURGLARY OF RESIDENCE,Burglary,12-Nov-18,1128 MASON AVE,C,78721,3132402,10073500
10,THEFT OF LICENSE PLATE,Theft,29-Oct-18,11514 RESEARCH BLVD SVRD SB,A,78759,3112008,10123174
2,THEFT,Theft,29-Oct-18,7707 S IH 35 SVRD NB,F,78744,3104643,10038266
1,THEFT OF BICYCLE,Theft,15-Aug-18,E 12TH ST / WEBBERVILLE RD,C,78721,3132442,10074830
9,THEFT,Theft,26-Sep-18,82 RAINEY ST,G,78701,3115620,10067601
3,AUTO THEFT,Auto Theft,14-Sep-18,204 CANEY ST,C,78702,3121218,10067100
2,BURGLARY OF VEHICLE,Theft,16-Nov-18,8419 COCKNEY DR,F,78748,3096636,10038812
3,THEFT,Theft,4-Nov-18,2900 SUNRIDGE DR,H,78741,3119729,10053927
10,BURGLARY OF VEHICLE,Theft,24-Oct-18,10000 RESEARCH BLVD SB,A,78759,3111874,10116083
7,THEFT BY SHOPLIFTING,Theft,29-Aug-18,13609 N IH 35 SVRD NB,E,78753,3135873,10127479
1,THEFT BY SHOPLIFTING,Theft,23-Nov-18,8600 E US 290 HWY SVRD EB,C,78724,3140015,10093125
4,BURGLARY OF VEHICLE,Theft,26-Oct-18,8701 RESEARCH BLVD SVRD NB,E,78758,3121461,10106006
3,AGG ASSAULT,Agg Assault,2-Nov-18,2222 E OLTORF ST,H,78741,3118304,10057063
3,THEFT BY SHOPLIFTING,Theft,21-Sep-18,710 E BEN WHITE BLVD WB,D,78704,3110268,10052995
6,BURGLARY OF VEHICLE,Theft,5-Sep-18,12827 N FM 620 RD NB,A,78750,3093981,10142323
7,THEFT BY SHOPLIFTING,Theft,11-Jul-18,1434 W WELLS BRANCH PKWY,E,78660,3137594,10134827
1,AGG ASSAULT WITH MOTOR VEH,Agg Assault,12-Dec-18,6103 MANOR RD,I,78723,3134407,10085593
3,AUTO THEFT,Auto Theft,3-Aug-18,2207 WICKERSHAM LN,H,78741,3121645,10056710
9,BURGLARY NON RESIDENCE,Burglary,5-Oct-18,4505 DUVAL ST,B,78751,3120003,10085209
3,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,27-Jul-18,1845 BURTON DR,H,78741,3118736,10058620
7,BURGLARY OF VEHICLE,Theft,19-Oct-18,4200 W BRAKER LN,A,78759,3114258,10118713
9,THEFT,Theft,16-Oct-18,1201 BARBARA JORDAN BLVD,B,78723,3124601,10084923
8,THEFT OF BICYCLE,Theft,15-Oct-18,2221 STRATFORD DR,D,78746,3105512,10071083
7,BURGLARY OF VEHICLE,Theft,19-Nov-18,9333 RESEARCH BLVD SVRD NB,A,78759,3113978,10112549
9,BURGLARY OF VEHICLE,Theft,24-Aug-18,2301 DURWOOD ST,D,78704,3109883,10061111
4,AUTO THEFT,Auto Theft,23-Oct-18,9414 N LAMAR BLVD,E,78758,3127650,10106327
4,BURGLARY OF VEHICLE,Theft,13-Nov-18,8017 GESSNER DR,E,78753,3126614,10098680
5,THEFT BY SHOPLIFTING,Theft,6-Nov-18,2100 S LAMAR BLVD,D,78704,3105636,10063425
10,BURGLARY OF VEHICLE,Theft,5-Oct-18,9226 JOLLYVILLE RD,B,78759,3112403,10112949
7,BURGLARY OF VEHICLE,Theft,2-Jul-18,3908 W BRAKER LN,A,78759,3115779,10117837
9,BURGLARY OF RESIDENCE,Burglary,9-Nov-18,1407 E 34TH ST,C,78722,3122130,10078981
9,BURGLARY OF RESIDENCE,Burglary,12-Sep-18,802 LEONARD ST,B,78705,3118014,10078882
3,BURGLARY OF VEHICLE,Theft,25-Oct-18,3005 STOCK DR,H,78741,3115798,10054860
9,AUTO THEFT,Auto Theft,23-Oct-18,1100 W 22ND HALF ST,B,78705,3111980,10077485
5,THEFT,Theft,10-Sep-18,1530 BARTON SPRINGS RD,D,78704,3108562,10068446
7,THEFT,Theft,11-Dec-18,1840 MONTANA SKY DR,A,78727,3131679,10129191
6,BURGLARY OF VEHICLE,Theft,19-Nov-18,11301 LAKELINE BLVD,A,78717,3094708,10147191
2,BURG NON RESIDENCE SHEDS,Burglary,25-Oct-18,7616 BARKDALE CT,F,78744,3108765,10036050
4,THEFT BY SHOPLIFTING,Theft,27-Nov-18,8339 RESEARCH BLVD NB,E,78758,3122268,10103358
4,THEFT FROM PERSON,Theft,5-Dec-18,1029 REINLI ST,I,78723,3125707,10088930
1,BURGLARY OF VEHICLE,Theft,17-Dec-18,5904 SANDSHOF DR,C,78724,3143856,10080603
7,THEFT,Theft,19-Oct-18,1001 E PARMER LN,E,78753,3140776,10119129
7,AUTO THEFT,Auto Theft,17-Aug-18,3400 STECK AVE,B,78757,3114431,10106831
4,BURGLARY OF RESIDENCE,Burglary,1-Sep-18,7506 MEADOWVIEW LN,I,78752,3123700,10097214
1,THEFT,Theft,5-Aug-18,2525 E ANDERSON LN EB,I,78752,3135244,10092463
7,THEFT,Theft,14-Nov-18,1801 WOOTEN PARK DR,I,78757,3119398,10102025
2,THEFT,Theft,4-Oct-18,2104 WAGON CROSSING PATH,F,78744,3110362,10043528
1,RAPE,Rape,17-Jul-18,,C,78721,,
5,AUTO THEFT,Auto Theft,12-Nov-18,2048 W STASSNEY LN,D,78745,3097087,10051826
4,BURGLARY OF VEHICLE,Theft,31-Oct-18,1620 RUTLAND DR,E,78758,3123303,10108973
9,BURGLARY OF RESIDENCE,Burglary,16-Dec-18,414 CROCKETT ST,D,78704,3110261,10062192
7,THEFT BY SHOPLIFTING,Theft,3-Oct-18,2525 W ANDERSON LN,B,78757,3116494,10102601
9,THEFT,Theft,3-Oct-18,1100 W CESAR CHAVEZ ST,B,78703,3109830,10070976
3,BURGLARY OF VEHICLE,Theft,14-Oct-18,1300 CROSSING PL,H,78741,3123924,10059981
4,ROBBERY BY ASSAULT,Robbery,17-Nov-18,9024 NORTHGATE BLVD,E,78758,3121526,10108096
1,BURGLARY OF VEHICLE,Theft,6-Nov-18,3506 DARBY ST,C,78721,3137077,10072037
4,AGG SEXUAL ASSAULT CHILD/OBJEC,Rape,27-Aug-18,,E,78753,,
9,AGG ASSAULT,Agg Assault,4-Aug-18,200 SAN JACINTO BLVD,G,78701,3114645,10069302
4,AUTO THEFT,Auto Theft,13-Dec-18,1708 RUTLAND DR,E,78758,3123597,10109699
4,THEFT,Theft,10-Oct-18,10300 GOLDEN MEADOW DR,E,78758,3123261,10111833
7,THEFT,Theft,4-Sep-18,2300 RUTLAND DR,A,78758,3120716,10112512
9,THEFT,Theft,25-Nov-18,1000 E 41ST ST,B,78751,3121344,10082703
3,THEFT,Theft,1-Dec-18,2508 E RIVERSIDE DR,H,78741,3120958,10059176
3,THEFT,Theft,4-Sep-18,1817 E OLTORF ST,H,78741,3116626,10057547
10,THEFT BY SHOPLIFTING,Theft,10-Sep-18,7025 VILLAGE CENTER DR,B,78731,3109504,10101310
9,BURGLARY OF RESIDENCE,Burglary,30-Jun-18,2913 RIO GRANDE ST,B,78705,3113929,10081188
9,BURGLARY OF VEHICLE,Theft,12-Jul-18,616 E 6TH ST,G,78701,3116380,10070260
8,THEFT,Theft,21-Nov-18,2100 BARTON SPRINGS RD,D,78746,3106393,10070460
8,BURGLARY OF VEHICLE,Theft,11-Dec-18,4301 W WILLIAM CANNON DR,D,78749,3084128,10053080
10,BURGLARY OF VEHICLE,Theft,1-Dec-18,8405 BENT TREE RD,B,78759,3113277,10108646
9,THEFT,Theft,9-Nov-18,100 CONGRESS AVE,G,78701,3113729,10069275
7,BURGLARY OF VEHICLE,Theft,9-Nov-18,1624 E HOWARD LN,E,78660,3145987,10121013
8,BURGLARY NON RESIDENCE,Burglary,24-Dec-18,5017 W US 290 HWY SVRD EB,D,78749,3089371,10057773
3,AGG ROBBERY/DEADLY WEAPON,Robbery,16-Dec-18,1516 BURTON DR,H,78741,3119061,10060239
3,BURGLARY OF VEHICLE,Theft,16-Dec-18,4700 E RIVERSIDE DR,H,78741,3122188,10058144
5,BURGLARY NON RESIDENCE,Burglary,7-Nov-18,11215 S IH 35 SVRD NB,F,78747,3098638,10022989
8,BURGLARY OF RESIDENCE,Burglary,17-Nov-18,4616 CHESNEY RIDGE DR,D,78749,3077489,10043994
4,THEFT OF BICYCLE,Theft,30-Oct-18,5901 N IH 35 SVRD NB,I,78723,3125506,10089730
4,AGG ROBBERY/DEADLY WEAPON,Robbery,10-Oct-18,1107 RUTLAND DR,E,78758,3126046,10106788
10,BURGLARY OF VEHICLE,Theft,28-Nov-18,11282 TAYLOR DRAPER LN,A,78759,3109536,10122725
1,THEFT,Theft,28-Nov-18,2909 E 51ST ST,C,78723,3131931,10081856
3,BREACH OF COMPUTER SECURITY,Theft,29-Jun-18,2515 DURWOOD ST,D,78704,3109478,10060170
5,BURGLARY OF VEHICLE,Theft,15-Nov-18,5707 WEST GATE BLVD,D,78745,3094328,10052179
3,THEFT OF LICENSE PLATE,Theft,20-Jul-18,2430 CROMWELL CIR,H,78741,3121531,10055852
7,BURGLARY OF VEHICLE,Theft,4-Dec-18,705 LITTLE OAK DR,E,78753,3132403,10115156
9,AUTO THEFT,Auto Theft,26-Dec-18,1711 FAWN DR,H,78741,3116802,10059466
2,THEFT,Theft,20-Dec-18,6607 S IH 35 SVRD NB,F,78744,3106736,10041724
3,BURGLARY OF RESIDENCE,Burglary,23-Dec-18,602 FORT DRUM DR,D,78745,3107464,10048170
4,BURGLARY OF VEHICLE,Theft,26-Dec-18,5608 AVENUE F,I,78751,3121367,10090313
9,BURGLARY OF VEHICLE,Theft,3-Nov-18,807 W LIVE OAK ST,D,78704,3108691,10062362
9,BURGLARY NON RESIDENCE,Burglary,17-Oct-18,1032 E 46TH ST,B,78751,3123003,10084183
7,AGG ROBBERY/DEADLY WEAPON,Robbery,24-Dec-18,2917 W ANDERSON LN,B,78757,3114840,10104092
9,THEFT,Theft,28-Nov-18,1201 BARBARA JORDAN BLVD,B,78723,3124601,10084923
1,THEFT,Theft,16-Nov-18,4616 WINDY BROOK DR,C,78723,3131859,10080232
5,AUTO THEFT,Auto Theft,25-Nov-18,9308 S 1ST ST,F,78748,3096524,10034765
1,AUTO THEFT,Auto Theft,20-Aug-18,6211 ADALEE AVE,I,78723,3134748,10086287
8,RAPE,Rape,9-Dec-18,,D,78739,,
5,BURGLARY OF VEHICLE,Theft,4-Dec-18,1100 S LAMAR BLVD,D,78704,3108188,10066117
4,THEFT,Theft,31-Aug-18,7522 N IH 35 SVRD SB,I,78752,3125968,10096642
2,THEFT,Theft,3-Aug-18,5700 BAYTHORNE DR,F,78747,3110995,10029297
4,BURGLARY NON RESIDENCE,Burglary,17-Aug-18,1433 FAIRFIELD DR,E,78758,3122017,10104511
3,THEFT,Theft,20-Dec-18,707 CARDINAL LN,D,78704,3106707,10057713
9,THEFT,Theft,14-Dec-18,2246 GUADALUPE ST,B,78705,3114379,10077330
7,BURGLARY NON RESIDENCE,Burglary,17-Dec-18,5435 BURNET RD,I,78756,3114805,10093129
2,BURGLARY OF VEHICLE,Theft,29-Oct-18,5719 PALO BLANCO LN,F,78744,3113517,10042961
9,THEFT,Theft,19-Nov-18,1812 WEST AVE,B,78701,3113131,10076058
3,BURGLARY OF VEHICLE,Theft,7-Sep-18,1300 CROSSING PL,H,78741,3123924,10059981
9,SEXUAL ASSAULT W/ OBJECT,Rape,4-Jul-18,,B,78701,,
3,AGG ROBBERY/DEADLY WEAPON,Robbery,17-Dec-18,2121 E OLTORF ST,H,78741,3117862,10057044
1,THEFT,Theft,30-Nov-18,2207 E 22ND ST,C,78722,3121922,10076420
3,BURGLARY OF VEHICLE,Theft,19-Sep-18,1201 LADY BIRD LN,H,78741,3120847,10061654
5,AUTO THEFT,Auto Theft,12-Sep-18,3128 SILKGRASS BND,F,78748,3084142,10040769
9,BURGLARY OF VEHICLE,Theft,30-Sep-18,2207 S 5TH ST,D,78704,3107898,10062274
6,THEFT BY SHOPLIFTING,Theft,16-Nov-18,11200 LAKELINE MALL DR,A,78613,3092523,10143915
3,AUTO THEFT,Auto Theft,8-Nov-18,1515 WICKERSHAM LN,H,78741,3122306,10058898
3,BURGLARY OF VEHICLE,Theft,10-Nov-18,1001 E 3RD ST,G,78702,3117230,10068661
10,AGG ASSAULT,Agg Assault,1-Jul-18,11901 PAVILION BLVD,A,78759,3109342,10127585
5,THEFT,Theft,30-Nov-18,4706 MERION CRICKET DR,F,78747,3102448,10021223
8,BURGLARY OF VEHICLE,Theft,1-Dec-18,6900 BRODIE LN,D,78749,3087289,10051111
1,BURGLARY OF RESIDENCE,Burglary,4-Aug-18,3013 ROGGE LN,I,78723,3134262,10083930
4,AUTO THEFT,Auto Theft,11-Jul-18,1071 CLAYTON LN,I,78723,3126309,10089393
7,THEFT FROM AUTO,Theft,24-Aug-18,12901 N IH 35 SVRD NB,E,78753,3135967,10124812
7,BURGLARY OF VEHICLE,Theft,13-Dec-18,9607 RESEARCH BLVD SVRD NB,A,78759,3112956,10114736
9,AGG ROBBERY BY ASSAULT,Robbery,16-Dec-18,700 BLOCK TRINITY ST,G,78701,3115555,10070935
2,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,28-Nov-18,8515 S IH 35 SVRD NB,F,78744,3102777,10035020
7,THEFT BY SHOPLIFTING,Theft,10-Dec-18,3311 ESPERANZA XING,A,78758,3118196,10118869
9,BURGLARY OF VEHICLE,Theft,26-Jun-18,1302 E 29TH ST,C,78722,3120839,10077585
3,BURG NON RESIDENCE SHEDS,Burglary,27-Aug-18,3412 E 4TH ST,C,78702,3126479,10065789
4,THEFT,Theft,16-Dec-18,1217 CLOVERLEAF DR,I,78723,3126508,10087176
4,THEFT FROM AUTO,Theft,15-Oct-18,400 W ANDERSON LN SVRD WB,E,78753,3124657,10099308
3,RAPE,Rape,28-Oct-18,,C,78702,,
2,BURGLARY OF RESIDENCE,Burglary,19-Oct-18,4612 SILVERSTONE DR,F,78744,3110134,10036330
1,THEFT,Theft,26-Nov-18,1409 LAVACA ST,B,78701,3114499,10073991
5,THEFT OF BICYCLE,Theft,29-Dec-18,4477 S LAMAR BLVD NB,D,78745,3097419,10056889
8,BURGLARY OF VEHICLE,Theft,3-Dec-18,4408 WALSALL LOOP,D,78749,3078564,10044320
7,THEFT,Theft,3-Dec-18,12901 N IH 35 SVRD NB,E,78753,3135967,10124812
8,BURGLARY OF VEHICLE,Theft,26-Nov-18,7101 S MOPAC EXPY SVRD NB,D,78749,3083723,10051222
4,THEFT,Theft,26-Dec-18,6010 N IH 35 SVRD SB,I,78752,3124708,10090933
3,THEFT BY SHOPLIFTING,Theft,21-Dec-18,710 E BEN WHITE BLVD SVRD WB,D,78704,3111061,10053193
9,BURGLARY OF VEHICLE,Theft,1-Dec-18,E 38TH HALF ST / N IH 35 SVRD NB,C,78722,3121476,10080631
6,AUTO THEFT,Auto Theft,30-Jun-18,13201 POND SPRINGS RD,A,78729,3101672,10135091
