council_district,highest_offense_desc,highest_offense,date,location,district,zip,x_coord,y_coord
1,AUTO THEFT,Auto Theft,24-Jun-18,804 E BRAKER LN,E,78753,3134919,10110983
9,THEFT OF BICYCLE,Theft,3-Oct-18,404 RIO GRANDE ST,G,78701,3111903,10070859
3,BURGLARY OF VEHICLE,Theft,17-Oct-18,2601 S PLEASANT VALLEY RD,H,78741,3119369,10055723
9,BURGLARY OF VEHICLE,Theft,17-Aug-18,901 NECHES ST,G,78701,3116154,10071403
6,THEFT,Theft,27-Aug-18,15200 SUNNINGDALE ST,A,78717,3102975,10155228
9,BURGLARY OF VEHICLE,Theft,17-Sep-18,1900 SIMOND AVE,B,78723,3126355,10081659
1,BURGLARY OF VEHICLE,Theft,5-Nov-18,E 7TH ST / NAVASOTA ST,G,78702,3119015,10069623
2,BURGLARY OF VEHICLE,Theft,27-Jun-18,2524 CHAPARRAL TRL,F,78744,3113626,10044134
3,THEFT,Theft,24-Oct-18,710 E BEN WHITE BLVD SVRD WB,D,78704,3111061,10053193
2,BREACH OF COMPUTER SECURITY,Theft,24-Sep-18,7209 SIR GAWAIN DR,F,78745,3099378,10042625
6,THEFT,Theft,9-Aug-18,13200 N US 183 HWY SVRD SB,A,78750,3099948,10133518
2,BURGLARY OF VEHICLE,Theft,14-Aug-18,5016 E BEN WHITE BLVD SVRD EB,F,78744,3119593,10051149
4,BURGLARY OF VEHICLE,Theft,16-Sep-18,10601 N LAMAR BLVD,E,78753,3130070,10109861
1,THEFT,Theft,28-Jun-18,2250 RIDGEPOINT DR,I,78754,3134806,10093981
9,AUTO THEFT,Auto Theft,8-Sep-18,2313 S 3RD ST,D,78704,3108751,10061549
7,THEFT FROM PERSON,Theft,27-Jul-18,13609 N IH 35 SVRD NB,E,78753,3135873,10127479
6,THEFT OF LICENSE PLATE,Theft,16-Sep-18,12440 ALAMEDA TRACE CIR,A,78727,3112658,10129436
6,BURGLARY OF VEHICLE,Theft,23-Sep-18,13359 POND SPRINGS RD,A,78729,3100235,10136279
4,SEXUAL ASSAULT OF CHILD/OBJECT,Rape,21-Aug-18,,E,78753,,
8,BURGLARY OF RESIDENCE,Burglary,7-Aug-18,6101 PARKWOOD DR,D,78735,3079125,10059303
5,THEFT,Theft,12-Nov-18,1212 W BEN WHITE BLVD SVRD WB,D,78704,3103509,10056113
9,RAPE OF A CHILD,Rape,16-Oct-18,,G,78701,,
6,BURGLARY OF VEHICLE,Theft,2-Nov-18,13301 N US 183 HWY SVRD NB,A,78729,3099634,10134959
7,BURGLARY OF VEHICLE,Theft,23-Oct-18,7705 ORANGEWOOD CIR,B,78757,3114482,10103440
,BURGLARY OF VEHICLE,Theft,29-Aug-18,2408 WEST ANDERSON LANE,UK,,,
5,AGG ASSAULT FAM/DATE VIOLENCE,Agg Assault,22-Oct-18,3014 W WILLIAM CANNON DR,D,78745,3089958,10049329
9,AGG ROBBERY/DEADLY WEAPON,Robbery,9-Aug-18,E CESAR CHAVEZ ST / TRINITY ST,G,78701,3114905,10068704
7,THEFT OF BICYCLE,Theft,19-Jun-18,3805 SKIPTON DR,A,78727,3119908,10124581
4,THEFT,Theft,18-Jul-18,11100 BENDING BOUGH TRL,E,78758,3126755,10113729
9,AUTO THEFT,Auto Theft,23-Oct-18,203 W 39TH ST,B,78751,3116707,10083232
3,ROBBERY BY ASSAULT,Robbery,22-Oct-18,1071 SPRINGDALE RD,C,78721,3130664,10072597
2,BURGLARY OF VEHICLE,Theft,28-Nov-18,2015 E STASSNEY LN,F,78744,3110195,10043858
7,THEFT BY SHOPLIFTING,Theft,21-Sep-18,11410 CENTURY OAKS TER,A,78758,3118245,10119454
3,THEFT,Theft,1-Dec-18,1515 WICKERSHAM LN,H,78741,3122306,10058898
10,BURGLARY OF VEHICLE,Theft,6-Dec-18,11250 TAYLOR DRAPER LN,A,78759,3110440,10122208
3,BURGLARY OF RESIDENCE,Burglary,28-Oct-18,1323 SOUTHPORT DR,D,78704,3103736,10057578
8,THEFT FROM PERSON,Theft,13-Oct-18,2100 BARTON SPRINGS RD,D,78746,3106393,10070460
9,THEFT BY SHOPLIFTING,Theft,26-Oct-18,1600 LAVACA ST,B,78701,3114539,10074676
8,BURGLARY OF VEHICLE,Theft,12-Sep-18,2205 REAL CATORCE,D,78746,3090311,10069932
7,BURGLARY OF VEHICLE,Theft,2-Sep-18,10100 N CAPITAL OF TEXAS HWY SB,A,78759,3115303,10115399
9,BURGLARY NON RESIDENCE,Burglary,8-Oct-18,111 E CESAR CHAVEZ ST,G,78701,3113960,10068938
4,AUTO THEFT,Auto Theft,3-Nov-18,9007 VIKING DR,E,78758,3125075,10105648
7,BURGLARY OF VEHICLE,Theft,17-Oct-18,10010 N CAPITAL OF TEXAS HWY NB,A,78759,3114585,10115340
4,BURGLARY OF VEHICLE,Theft,31-Jul-18,8926 N LAMAR BLVD,E,78758,3127130,10104047
3,RAPE,Rape,29-Oct-18,,D,78745,,
3,BURGLARY OF RESIDENCE,Burglary,26-Aug-18,1500 ROYAL CREST DR,H,78741,3118504,10060965
8,THEFT FROM PERSON,Theft,22-Oct-18,301 NATURE CENTER DR,D,78746,3104128,10071979
6,THEFT,Theft,1-Oct-18,11200 LAKELINE MALL DR,A,78613,3092523,10143915
1,BURGLARY OF RESIDENCE,Burglary,6-Nov-18,3003 LAKESIDE DR,I,78723,3135993,10087204
1,ROBBERY BY THREAT,Robbery,26-Jul-18,12151 N IH 35 SVRD NB,E,78753,3135985,10117220
5,THEFT BY SHOPLIFTING,Theft,18-Dec-18,2300 W BEN WHITE BLVD SVRD WB,D,78704,3098945,10057577
2,THEFT,Theft,9-Dec-18,401 LITTLE TEXAS LN,F,78745,3105493,10046033
3,SEXUAL ASSAULT OF CHILD/OBJECT,Rape,21-Jun-18,,H,78741,,
7,AGG ROBBERY/DEADLY WEAPON,Robbery,20-Dec-18,1900 W ANDERSON LN,I,78757,3118853,10102233
2,BURGLARY OF VEHICLE,Theft,21-Oct-18,6009 DAFFODIL DR,F,78744,3122839,10050381
,THEFT BY SHOPLIFTING,Theft,22-Dec-18,1201 BARABARA JORDAN BLVD,UK,,,
7,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,22-Oct-18,2900 CENTURY PARK BLVD,A,78727,3127947,10131892
3,BURGLARY OF VEHICLE,Theft,25-Oct-18,4620 E CESAR CHAVEZ ST,C,78702,3126942,10065288
5,AUTO THEFT,Auto Theft,6-Oct-18,1900 ONION CREEK PKWY,F,78748,3097336,10023051
9,BURGLARY OF VEHICLE,Theft,18-Nov-18,609 WOOD ST,G,78703,3111592,10071879
8,BURGLARY OF VEHICLE,Theft,13-Nov-18,5700 W SLAUGHTER LN,D,78749,3075194,10045769
9,ROBBERY BY ASSAULT,Robbery,30-Nov-18,200 BLOCK RED RIVER ST,G,78701,3115661,10068954
9,AUTO THEFT,Auto Theft,15-Oct-18,50 BLOCK RAINEY ST,G,78701,3115418,10066695
9,THEFT OF LICENSE PLATE,Theft,10-Oct-18,5205 AIRPORT BLVD,I,78751,3122764,10087465
3,BURGLARY OF VEHICLE,Theft,21-Oct-18,4200 S IH 35 NB,H,78741,3111844,10051401
7,THEFT,Theft,23-Nov-18,1705 PHEASANT ROOST,E,78758,3127073,10117421
3,THEFT,Theft,12-Aug-18,2347 DOUGLAS ST,H,78741,3118325,10056320
4,BURGLARY OF RESIDENCE,Burglary,19-Nov-18,8926 N LAMAR BLVD,E,78758,3127130,10104047
7,BURGLARY OF VEHICLE,Theft,9-Jul-18,10011 STONELAKE BLVD,A,78759,3114834,10115974
4,AUTO THEFT,Auto Theft,23-Dec-18,101 E APPLEGATE DR,E,78753,3131279,10108590
5,BREACH OF COMPUTER SECURITY,Theft,26-Dec-18,8807 DANDELION TRL,F,78745,3085831,10042552
9,BURG NON RESIDENCE SHEDS,Burglary,20-Oct-18,406 E ANNIE ST,H,78704,3113035,10062500
4,AGG ROBBERY/DEADLY WEAPON,Robbery,7-Nov-18,8900 N LAMAR BLVD,E,78758,3126923,10103871
8,THEFT,Theft,5-Nov-18,8204 WASHITA DR,D,78749,3081786,10047488
7,BURGLARY OF VEHICLE,Theft,4-Sep-18,12501 TECH RIDGE BLVD,E,78753,3138829,10118547
6,BURGLARY OF VEHICLE,Theft,14-Oct-18,9130 BALCONES CLUB DR,A,78750,3098208,10134234
6,THEFT,Theft,4-Oct-18,9301 SPECTRUM DR,A,78717,3106089,10148570
3,BURGLARY OF VEHICLE,Theft,4-Sep-18,4611 S 2ND ST,D,78745,3104247,10052083
9,BURGLARY OF RESIDENCE,Burglary,10-Aug-18,91 RAINEY ST,G,78701,3115917,10067931
3,AUTO THEFT,Auto Theft,22-Oct-18,304 E BEN WHITE BLVD SVRD WB,D,78704,3108962,10053949
7,THEFT BY SHOPLIFTING,Theft,19-Nov-18,1434 W WELLS BRANCH PKWY,E,78660,3137594,10134827
6,BURGLARY OF RESIDENCE,Burglary,27-Dec-18,12701 TANTARA DR,A,78729,3105742,10135494
2,THEFT,Theft,18-Oct-18,4909 COPPERBEND BLVD,F,78744,3115919,10045156
1,BURGLARY OF VEHICLE,Theft,18-Oct-18,1001 COLLINWOOD WEST DR,E,78753,3134897,10108726
4,THEFT,Theft,19-Nov-18,5203 CAMERON RD,I,78723,3124814,10086285
8,THEFT,Theft,6-Jul-18,7617 COVERED BRIDGE DR,D,78736,3064408,10058789
3,AGG ASSAULT,Agg Assault,25-Jun-18,908 E CESAR CHAVEZ ST,G,78702,3116904,10068234
3,AGG ROBBERY/DEADLY WEAPON,Robbery,20-Nov-18,2222 E OLTORF ST,H,78741,3118304,10057063
8,THEFT,Theft,9-Jul-18,2901 S CAPITAL OF TEXAS HWY NB,D,78746,3094135,10066586
4,THEFT OF LICENSE PLATE,Theft,2-Dec-18,8225 SAM RAYBURN DR,E,78753,3127505,10100063
3,BURGLARY OF VEHICLE,Theft,2-Dec-18,1700 TIMBER RIDGE RD,H,78741,3114343,10055370
3,AUTO THEFT,Auto Theft,30-Sep-18,1111 W OLTORF ST,D,78704,3107081,10061980
9,THEFT,Theft,8-Aug-18,88 RAINEY ST,G,78701,3115687,10067798
1,AGG ASSAULT,Agg Assault,8-Aug-18,11000 DESSAU RD,E,78753,3136960,10108024
4,THEFT BY SHOPLIFTING,Theft,10-Aug-18,1030 NORWOOD PARK BLVD,I,78753,3129996,10096983
6,THEFT FROM AUTO,Theft,5-Jul-18,13858 N US 183 HWY SVRD SB,A,78750,3095407,10142491
3,AGG ASSAULT,Agg Assault,18-Nov-18,601 N IH 35 SVRD NB,G,78702,3117100,10069985
7,BURGLARY NON RESIDENCE,Burglary,19-Dec-18,301 W HOWARD LN,E,78753,3139013,10125323
3,AGG ROBBERY/DEADLY WEAPON,Robbery,31-Jul-18,2000 YELLOW JACKET LN,H,78741,3129679,10053923
9,THEFT OF AUTO PARTS,Theft,26-Sep-18,100 N IH 35 SVRD SB,G,78701,3116258,10068343
7,THEFT BY SHOPLIFTING,Theft,14-Dec-18,7301 BURNET RD,I,78757,3116022,10100088
5,THEFT BY SHOPLIFTING,Theft,9-Nov-18,9600 S IH 35 SVRD SB,F,78748,3099540,10031306
3,BURGLARY OF VEHICLE,Theft,3-Nov-18,3715 S 1ST ST,D,78704,3106904,10056363
1,AGG ASSAULT,Agg Assault,22-Jun-18,6201 E US 290 HWY EB,I,78723,3126660,10090627
1,BURGLARY OF VEHICLE,Theft,7-Nov-18,909 RIVER OAKS DR,E,78753,3137363,10113714
9,BURGLARY OF VEHICLE,Theft,17-Oct-18,112 LAUREL LN,B,78705,3115761,10081224
4,BURGLARY OF VEHICLE,Theft,31-Oct-18,1711 RUTLAND DR,E,78758,3123198,10109941
1,THEFT FROM AUTO,Theft,16-Dec-18,6600 ED BLUESTEIN BLVD NB,C,78724,3139693,10086046
4,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,24-Dec-18,8885 RESEARCH BLVD SVRD NB,E,78758,3120748,10108093
10,BURGLARY OF RESIDENCE,Burglary,25-Aug-18,2708 MARIA ANNA RD,B,78703,3105784,10084467
9,BURGLARY OF VEHICLE,Theft,9-Nov-18,2100 SAN ANTONIO ST,B,78705,3114074,10076611
6,BURGLARY OF VEHICLE,Theft,27-Dec-18,11617 RESEARCH BLVD NB,A,78759,3112205,10124433
7,BURGLARY OF VEHICLE,Theft,28-Oct-18,9700 STONELAKE BLVD,A,78759,3114412,10114274
3,BURGLARY OF VEHICLE,Theft,18-Nov-18,6900 E RIVERSIDE DR,H,78741,3129026,10054592
3,AGG ASSAULT,Agg Assault,1-Nov-18,BERGER ST / DEWEY ST,C,78721,3131697,10071974
3,THEFT,Theft,7-Nov-18,4600 ELMONT DR,H,78741,3122852,10060647
7,BURG NON RESIDENCE SHEDS,Burglary,8-Sep-18,7200 EASY WIND DR,I,78757,3121068,10097264
7,BURGLARY OF VEHICLE,Theft,1-Oct-18,11718 METRIC BLVD,A,78758,3124818,10118309
9,THEFT,Theft,30-Aug-18,500 E 7TH ST,G,78701,3115951,10070759
1,DEADLY CONDUCT,Agg Assault,11-Nov-18,9500 BLOCK E US 290 HWY EB,C,78724,3148726,10094172
9,BURGLARY NON RESIDENCE,Burglary,27-Oct-18,1620 E RIVERSIDE DR,H,78741,3118446,10062525
1,AGG SEXUAL ASSAULT CHILD/OBJEC,Rape,17-Oct-18,,C,78724,,
9,BURG NON RESIDENCE SHEDS,Burglary,17-Nov-18,2300 NUECES ST,B,78705,3113806,10077553
3,BURGLARY OF VEHICLE,Theft,19-Nov-18,2005 WILLOW CREEK DR,H,78741,3119100,10057764
5,BURGLARY OF VEHICLE,Theft,23-Jun-18,4630 S LAMAR BLVD SB,D,78735,3094347,10057491
4,AUTO THEFT,Auto Theft,31-Dec-18,400 KENNISTON DR,I,78752,3122783,10094989
3,THEFT,Theft,21-Jun-18,710 E BEN WHITE BLVD SVRD WB,D,78704,3111061,10053193
7,BURGLARY OF VEHICLE,Theft,6-Jan-18,13218 ROCHESTER LN,E,78753,3143528,10121238
9,THEFT BY SHOPLIFTING,Theft,14-Jan-18,900 N IH 35 SVRD SB,G,78701,3117057,10071179
7,AGG ASSAULT,Agg Assault,18-Jan-18,3401 W PARMER LN,A,78727,3123458,10126575
6,BURGLARY OF VEHICLE,Theft,28-Jan-18,12425 MELLOW MEADOW DR,A,78750,3095603,10139415
5,BURGLARY NON RESIDENCE,Burglary,20-Feb-18,3200 ALDWYCHE DR,D,78704,3103096,10060037
5,BURGLARY OF VEHICLE,Theft,14-Jan-18,11301 FARRAH LN,F,78748,3097156,10023898
4,THEFT,Theft,19-Jan-18,10203 OAK HOLLOW CIR,E,78758,3124210,10111261
7,THEFT OF BICYCLE,Theft,20-Jan-18,3201 ESPERANZA XING,A,78758,3119265,10118563
