,highest_offense,date,zip,x_coord,y_coord
1,Agg Assault,25-Feb-17,78701.0,30.251540000000002,-97.70604
5,Theft,1-Mar-17,78701.0,30.259510000000002,-97.70759
6,Theft,23-Feb-17,78701.0,30.23178,-97.73139
13,Theft,29-Jan-17,78723.0,30.477800000000002,-97.88329
17,Theft,15-Feb-17,78723.0,30.379520000000003,-97.8334
18,Burglary,6-Mar-17,78723.0,30.444580000000002,-97.89713
20,Auto Theft,15-Feb-17,78723.0,30.35556,-97.83907
22,Auto Theft,24-Feb-17,78704.0,30.229480000000002,-97.65846
26,Theft,4-Mar-17,78704.0,30.23874,-97.56333
27,Theft,13-Mar-17,78702.0,30.29373,-97.67062
28,Agg Assault,28-Feb-17,78723.0,30.34798,-97.86234
30,Theft,24-Feb-17,78704.0,30.092570000000002,-97.58451
33,Theft,7-Mar-17,78701.0,30.227990000000002,-97.69707
37,Theft,29-Mar-17,78741.0,30.3672,-97.55605
38,Agg Assault,11-Mar-17,78723.0,30.41315,-97.90269
39,Theft,8-Mar-17,78704.0,30.092570000000002,-97.58451
45,Robbery,21-Mar-17,78741.0,30.362190000000002,-97.56687
50,Burglary,4-Mar-17,78703.0,30.210690000000003,-97.71226
51,Agg Assault,17-Mar-17,78701.0,30.262230000000002,-97.65825
53,Theft,18-Feb-17,78741.0,30.36195,-97.55989
55,Theft,22-Mar-17,78704.0,30.22419,-97.64004
56,Burglary,28-Mar-17,78741.0,30.322290000000002,-97.59265
57,Theft,10-Mar-17,78702.0,30.30245,-97.69135
58,Theft,6-Mar-17,78723.0,30.40367,-97.82463
61,Burglary,1-Apr-17,78741.0,30.36928,-97.55893
64,Theft,9-Apr-17,78704.0,30.189210000000003,-97.66697
65,Agg Assault,5-Apr-17,78721.0,30.41937,-97.76089
69,Auto Theft,2-Apr-17,78723.0,30.361810000000002,-97.82151
70,Theft,5-Apr-17,78704.0,30.20718,-97.52849
71,Theft,5-Apr-17,78746.0,30.03433,-97.61615
77,Burglary,9-Apr-17,78741.0,30.322290000000002,-97.59265
78,Theft,5-Apr-17,78721.0,30.429190000000002,-97.73999
79,Burglary,30-Mar-17,78704.0,30.21808,-97.58114
81,Theft,5-Apr-17,78701.0,30.26253,-97.70465
86,Theft,2-Apr-17,78704.0,30.258960000000002,-97.60537
87,Agg Assault,2-Apr-17,78702.0,30.314680000000003,-97.7108
89,Theft,4-Apr-17,78741.0,30.371850000000002,-97.59247
90,Theft,3-Apr-17,78752.0,30.397000000000002,-97.92439
91,Burglary,2-Apr-17,78741.0,30.30814,-97.56202
93,Theft,4-Apr-17,78741.0,30.322290000000002,-97.59265
94,Theft,5-Apr-17,78704.0,30.217270000000003,-97.55165
97,Burglary,29-Mar-17,78702.0,30.309540000000002,-97.66898
98,Theft,6-Apr-17,78723.0,30.40464,-97.87132
101,Theft,7-Apr-17,78752.0,30.38466,-97.91671
104,Theft,30-May-17,78756.0,30.27586,-97.89415
105,Burglary,10-May-17,78704.0,30.189490000000003,-97.62784
108,Theft,27-Jun-17,78752.0,30.343960000000003,-97.90821
109,Theft,3-Jul-17,78704.0,30.216540000000002,-97.59564
111,Theft,4-May-17,78702.0,30.382240000000003,-97.72832
112,Theft,14-Jul-17,78723.0,30.35612,-97.88384
113,Theft,15-Jun-17,78741.0,30.31434,-97.54603
120,Theft,9-Aug-17,78703.0,30.2074,-97.71581
122,Auto Theft,3-Jun-17,78741.0,30.37402,-97.51748
125,Burglary,20-Jul-17,78705.0,30.288990000000002,-97.78278
128,Theft,12-Jul-17,78701.0,30.259510000000002,-97.70759
131,Theft,11-Aug-17,78741.0,30.287460000000003,-97.57154
132,Theft,21-Aug-17,78741.0,30.23742,-97.54371
134,Theft,15-Aug-17,78741.0,30.30958,-97.59176
135,Burglary,29-Jul-17,78702.0,30.33348,-97.66768
138,Theft,24-Jun-17,78704.0,30.15997,-97.63361
139,Theft,19-Apr-17,78741.0,30.33697,-97.58703
140,Rape,21-Apr-17,78704.0,-0.9,3.0
141,Theft,25-Apr-17,78704.0,30.09795,-97.59834
