,highest_offense,date,zip,x_coord,y_coord
5,Burglary,1-Jan-15,78741.0,30.32853,-97.60648
6,Burglary,1-Jan-15,78741.0,30.27897,-97.63203
8,Burglary,1-Jan-15,78721.0,30.41757,-97.75823
13,Auto Theft,1-Jan-15,78741.0,30.30206,-97.54679
14,Auto Theft,1-Jan-15,78752.0,30.36286,-97.95654
17,Auto Theft,1-Jan-15,78702.0,30.28008,-97.71058
18,Auto Theft,1-Jan-15,78704.0,30.232200000000002,-97.54718
21,Agg Assault,1-Jan-15,78721.0,30.39984,-97.72501
23,Agg Assault,1-Jan-15,78702.0,30.33088,-97.69039
24,Theft,1-Jan-15,78702.0,30.27101,-97.69986
25,Theft,1-Jan-15,78701.0,30.238500000000002,-97.70359
27,Theft,1-Jan-15,78741.0,30.372580000000003,-97.55405
28,Theft,1-Jan-15,78723.0,30.379530000000003,-97.8334
33,Theft,1-Jan-15,78741.0,30.372580000000003,-97.55405
34,Theft,1-Jan-15,78752.0,30.3289,-97.91831
38,Theft,1-Jan-15,78723.0,30.379530000000003,-97.8334
41,Theft,1-Jan-15,78701.0,30.25063,-97.7153
44,Theft,1-Jan-15,78741.0,30.263350000000003,-97.55642
46,Theft,1-Jan-15,78741.0,30.258270000000003,-97.55692
48,Theft,1-Jan-15,78704.0,30.217270000000003,-97.55166
61,Theft,1-Jan-15,78701.0,30.24652,-97.6946
62,Theft,1-Jan-15,78701.0,30.2394,-97.74532
64,Theft,1-Jan-15,78723.0,30.49623,-97.84179
65,Theft,1-Jan-15,78721.0,30.44638,-97.7306
66,Theft,1-Jan-15,78741.0,30.25825,-97.51962
67,Theft,1-Jan-15,78723.0,30.36486,-97.90455
68,Theft,1-Jan-15,78756.0,30.25712,-97.90444
69,Theft,1-Jan-15,78741.0,30.2927,-97.60529
74,Theft,1-Jan-15,78701.0,30.263650000000002,-97.70461
75,Theft,1-Jan-15,78746.0,29.9907,-97.72207
78,Theft,1-Jan-15,78723.0,30.349600000000002,-97.87492
79,Theft,1-Jan-15,78704.0,30.220760000000002,-97.66729
80,Theft,1-Jan-15,78723.0,30.37086,-97.86367
81,Theft,1-Jan-15,78723.0,30.40926,-97.87173
83,Theft,1-Jan-15,78701.0,30.25665,-97.70473
84,Robbery,2-Jan-15,78721.0,30.400380000000002,-97.75027
87,Robbery,2-Jan-15,78752.0,30.34694,-97.95629
88,Burglary,2-Jan-15,78723.0,30.41598,-97.87036
89,Burglary,2-Jan-15,78723.0,30.410590000000003,-97.85571
93,Burglary,2-Jan-15,78702.0,30.330550000000002,-97.68824
94,Burglary,2-Jan-15,78741.0,30.32189,-97.58144
95,Burglary,2-Jan-15,78703.0,30.178620000000002,-97.82486
106,Burglary,2-Jan-15,78741.0,30.28741,-97.6061
107,Burglary,2-Jan-15,78723.0,30.426160000000003,-97.88102
109,Burglary,2-Jan-15,78723.0,30.41798,-97.86384
114,Auto Theft,2-Jan-15,78721.0,30.445610000000002,-97.68822
117,Auto Theft,2-Jan-15,78723.0,30.45609,-97.88927
124,Agg Assault,2-Jan-15,78721.0,30.408920000000002,-97.72468
125,Theft,2-Jan-15,78701.0,30.25522,-97.70515
129,Theft,2-Jan-15,78703.0,30.207410000000003,-97.71581
130,Theft,2-Jan-15,78746.0,30.04135,-97.66586
132,Theft,2-Jan-15,78701.0,30.25861,-97.70413
135,Theft,2-Jan-15,78741.0,30.32189,-97.58144
136,Theft,2-Jan-15,78741.0,30.281470000000002,-97.58688
137,Theft,2-Jan-15,78704.0,30.263160000000003,-97.63473
140,Theft,2-Jan-15,78741.0,30.32189,-97.58144
144,Theft,2-Jan-15,78741.0,30.24951,-97.54578
145,Theft,2-Jan-15,78741.0,30.25673,-97.55979
147,Theft,2-Jan-15,78703.0,30.15044,-97.78214
148,Theft,2-Jan-15,78723.0,30.370810000000002,-97.77411
151,Theft,2-Jan-15,78741.0,30.3718,-97.56845
152,Rape,3-Mar-15,78752.0,-0.9,3.0
154,Theft,2-Jan-15,78741.0,30.29643,-97.58245
156,Theft,2-Jan-15,78752.0,30.34701,-97.92754
157,Theft,2-Jan-15,78702.0,30.3777,-97.65674
159,Theft,2-Jan-15,78704.0,30.180970000000002,-97.57696
161,Theft,2-Jan-15,78752.0,30.39938,-97.9493
